,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Notes
0,1921,23,GNB,APFA,6,3,2,1,.600,0.1,1.5,-1.4,,,,,6,
1,1922,24,GNB,NFL,10,4,3,3,.571,1.1,-3.1,4.2,,,,,7,
2,1923,25,GNB,NFL,10,7,2,1,.778,3.0,1.1,1.8,,,,,3,
3,1924,26,GNB,NFL,11,7,4,0,.636,9.2,2.0,7.2,,,,,6,
4,1925,27,GNB,NFL,13,8,5,0,.615,1.3,0.6,0.8,,,,,9,
5,1926,28,GNB,NFL,13,7,3,3,.700,6.6,3.4,3.2,,,,,5,
6,1927,29,GNB,NFL,10,7,2,1,.778,5.1,1.5,3.6,,,,,2,
7,1928,30,GNB,NFL,13,6,4,3,.600,0.1,-1.2,1.3,,,,,4,
8,1929,31,GNB,NFL,13,12,0,1,1.000,12.2,4.3,7.9,,,,,1,NFL Champions
9,1930,32,GNB,NFL,14,10,3,1,.769,9.5,6.7,2.9,,,,,1,NFL Champions
10,1931,33,GNB,NFL,14,12,2,0,.857,12.5,10.3,2.3,,,,,1,NFL Champions
11,1932,34,GNB,NFL,14,10,3,1,.769,6.2,2.4,3.8,,,,,2,
12,1933,35,GNB,NFL,13,5,7,1,.417,6.5,3.8,2.7,,,,,3,
13,1934,36,GNB,NFL,13,7,6,0,.538,5.6,2.4,3.1,,,,,3,
14,1935,37,GNB,NFL,12,8,4,0,.667,8.8,4.4,4.4,,,,,2,
15,1936,38,GNB,NFL,12,10,1,1,.909,12.6,10.4,2.1,1,1,0,1.000,1,NFL Champions
16,1937,39,GNB,NFL,11,7,4,0,.636,9.9,7.7,2.3,,,,,2,
17,1938,40,GNB,NFL,11,8,3,0,.727,8.5,6.8,1.7,1,0,1,.000,1,
18,1939,41,GNB,NFL,11,9,2,0,.818,7.4,5.4,2.0,1,1,0,1.000,1,NFL Champions
19,1940,42,GNB,NFL,11,6,4,1,.600,6.2,6.4,-0.2,,,,,2,
20,1941,43,GNB,NFL,11,10,1,0,.909,12.4,6.7,5.8,1,0,1,.000,1,
21,1942,44,GNB,NFL,11,8,2,1,.800,6.3,11.4,-5.2,,,,,2,
22,1943,45,GNB,NFL,10,7,2,1,.778,8.8,7.0,1.8,,,,,2,
23,1944,46,GNB,NFL,10,8,2,0,.800,8.2,4.8,3.4,1,1,0,1.000,1,NFL Champions
24,1945,47,GNB,NFL,10,6,4,0,.600,7.9,6.9,1.0,,,,,3,
25,1946,48,GNB,NFL,11,6,5,0,.545,-0.6,-6.8,6.1,,,,,3,
26,1947,49,GNB,NFL,12,6,5,1,.545,7.3,1.0,6.3,,,,,3,
27,1948,50,GNB,NFL,12,3,9,0,.250,-9.9,-10.8,1.0,,,,,4,
28,1949,51,GNB,NFL,12,2,10,0,.167,-16.1,-13.3,-2.8,,,,,5,
29,1950,52,CRD,NFL,12,5,7,0,.417,1.2,2.9,-1.7,,,,,5,
30,1951,53,CRD,NFL,10,2,8,0,.200,-3.9,-1.9,-1.9,,,,,6,
31,1952,54,WAS,NFL,12,4,8,0,.333,-2.8,-0.8,-2.0,,,,,5,
32,1953,55,WAS,NFL,12,6,5,1,.545,-1.0,-4.3,3.2,,,,,3,
