Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Notes
1982,41,NWE,NFL,9,5,4,0,.556,-2.4,-3.7,1.3,1,0,1,.000,3,
1983,42,NWE,NFL,16,8,8,0,.500,-1.0,-4.7,3.7,,,,,2,
1984,43,NWE,NFL,8,5,3,0,.625,-0.1,1.0,-1.1,,,,,2,
1986,45,IND,NFL,3,3,0,0,1.000,-10.4,-6.6,-3.8,,,,,5,
1987,46,IND,NFL,15,9,6,0,.600,4.3,-1.3,5.5,1,0,1,.000,1,
1988,47,IND,NFL,16,9,7,0,.563,3.2,2.9,0.3,,,,,2,
1989,48,IND,NFL,16,8,8,0,.500,-0.5,-2.7,2.2,,,,,2,
1990,49,IND,NFL,16,7,9,0,.438,-3.9,-2.7,-1.2,,,,,3,
1991,50,IND,NFL,5,0,5,0,.000,-17.3,-11.5,-5.7,,,,,5,
