,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Notes
0,1984,39,CIN,NFL,16,8,8,0,.500,-1.2,-0.1,-1.0,,,,,2,
1,1985,40,CIN,NFL,16,7,9,0,.438,-0.7,6.2,-6.9,,,,,2,
2,1986,41,CIN,NFL,16,10,6,0,.625,1.5,5.7,-4.2,,,,,2,
3,1987,42,CIN,NFL,15,4,11,0,.267,-3.7,-1.8,-1.9,,,,,4,
4,1988,43,CIN,NFL,16,12,4,0,.750,6.1,7.1,-1.0,3,2,1,.667,1,AFC Champions
5,1989,44,CIN,NFL,16,8,8,0,.500,6.9,4.6,2.4,,,,,4,
6,1990,45,CIN,NFL,16,9,7,0,.563,-1.1,1.9,-3.0,2,1,1,.500,1,
7,1991,46,CIN,NFL,16,3,13,0,.188,-8.7,-1.8,-6.9,,,,,4,
8,1992,47,TAM,NFL,16,5,11,0,.313,-5.9,-2.0,-3.9,,,,,3,
9,1993,48,TAM,NFL,16,5,11,0,.313,-7.6,-3.3,-4.3,,,,,5,
10,1994,49,TAM,NFL,16,6,10,0,.375,-6.2,-5.4,-0.8,,,,,5,
11,1995,50,TAM,NFL,16,7,9,0,.438,-5.0,-6.9,1.9,,,,,5,
