Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Passing Off,Yds Defense,TD Rushing Def,Int,NY/A,Yds Passing Def,Pts_2,TkA,Att_2,Yds_5,TD_2,Y/A_1,FR,Att_3,Yds_6,TD_3,Int_1,nY/A
1976,CLE,DC,28,11,20,16,9,10,14,20,13,9,24,8,23,12,11,3,8,9,9,20,15,3,4,18,12,25,24,13,20,10,10
1977,CLE,HC,28,17,27,16,11,9,12,28,13,8,21,3,26,8,10,4,27,14,20,22,9,16,19,18,20,11,12,13,18,9,18
,CLE,DC,28,17,27,16,11,9,12,28,13,8,21,3,26,8,10,4,27,14,20,22,9,16,19,18,20,11,12,13,18,9,18
1978,NYG,DC,28,21,13,22,24,23,19,15,12,13,22,15,3,21,22,21,20,20,22,16,17,25,25,28,21,12,21,11,2,19,8
1984,GNB,DC,28,14,7,7,12,6,7,14,21,13,6,5,1,12,9,4,27,7,16,10,5,23,20,16,13,12,23,8,5,6,5
1985,GNB,DC,28,12,19,18,12,12,16,24,15,11,13,3,14,12,15,14,23,18,12,15,11,16,16,15,15,1,14,13,16,26,12
1986,GNB,DC,28,24,27,26,16,18,25,25,24,23,25,16,22,5,14,17,26,19,12,27,21,28,21,20,9,22,2,5,27,14,20
1987,GNB,DC,28,22,8,22,22,22,26,14,19,18,12,19,18,20,25,26,8,23,14,11,7,24,18,17,8,3,12,13,2,15,17
