Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Passing Off,Yds Defense,TD Rushing Def,Int,NY/A,Yds Passing Def,Pts_2,TkA,Att_2,Yds_5,TD_2,Y/A_1,FR,Att_3,Yds_6,TD_3,Int_1,nY/A
1989,RAI,HC,28,15,16,13,16,19,18,15,17,9,26,3,5,27,25,12,18,10,10,10,15,22,16,16,15,4,12,5,9,19,8
1990,RAI,HC,28,4,14,9,13,19,13,4,6,9,2,12,10,28,23,16,3,1,4,7,27,14,14,1,10,26,4,4,11,21,7
1991,RAI,HC,28,13,11,15,24,23,15,14,13,15,22,17,7,28,25,7,17,12,21,12,14,15,22,16,23,18,16,18,15,11,12
1992,RAI,HC,28,16,28,15,14,23,23,22,15,11,23,12,16,18,24,8,21,24,9,11,28,23,12,25,2,28,6,10,1,27,15
1993,RAI,HC,28,6,18,18,10,13,14,6,19,26,15,27,8,19,5,17,9,4,9,21,23,22,20,26,12,25,3,5,11,17,14
1994,RAI,HC,28,9,22,15,14,19,19,15,18,21,25,20,19,23,16,10,12,13,10,17,22,13,9,11,5,11,19,14,21,22,7
2006,OAK,HC,32,32,32,32,26,32,32,32,30,29,32,22,32,22,31,32,31,32,3,18,27,32,25,23,12,31,1,1,7,10,5
