,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Notes
0,1941,50,PHI,NFL,11,2,8,1,.200,-9.9,-6.0,-3.8,,,,,4,
1,1942,51,PHI,NFL,11,2,9,0,.182,-5.8,-1.7,-4.2,,,,,5,
2,1943,52,PHI,NFL,10,5,4,1,.556,-1.5,3.7,-5.2,,,,,3,co-coach with Walt Kiesling
3,1944,53,PHI,NFL,10,7,1,2,.875,11.6,9.5,2.1,,,,,2,
4,1945,54,PHI,NFL,10,7,3,0,.700,10.1,8.3,1.9,,,,,2,
5,1946,55,PHI,NFL,11,6,5,0,.545,1.5,3.7,-2.1,,,,,2,
6,1947,56,PHI,NFL,12,8,4,0,.667,2.5,2.5,0.0,2,1,1,.500,1,
7,1948,57,PHI,NFL,12,9,2,1,.818,15.5,5.9,9.6,1,1,0,1.000,1,NFL Champions
8,1949,58,PHI,NFL,12,11,1,0,.917,17.1,6.1,11.0,1,1,0,1.000,1,NFL Champions
9,1950,59,PHI,NFL,12,6,6,0,.500,13.0,0.3,12.8,,,,,3,
