,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Num,Won,Notes
0,2006,43,NOR,NFL,16,10,6,0,.625,4.0,4.9,-0.9,2,1,1,.500,1,12,5,
1,2007,44,NOR,NFL,16,7,9,0,.438,-2.5,1.9,-4.5,,,,,3,11,2,
2,2008,45,NOR,NFL,16,8,8,0,.500,4.0,6.8,-2.8,,,,,4,15,5,
3,2009,46,NOR,NFL,16,13,3,0,.813,10.8,11.2,-0.5,3,3,0,1.000,1,11,5,Super Bowl Champions
4,2010,47,NOR,NFL,16,11,5,0,.688,2.3,1.5,0.8,1,0,1,.000,2,8,6,
5,2011,48,NOR,NFL,16,13,3,0,.813,11.4,10.6,0.8,2,1,1,.500,1,7,4,
6,2013,50,NOR,NFL,16,11,5,0,.688,8.8,3.8,5.0,2,1,1,.500,2,5,2,
7,2014,51,NOR,NFL,16,7,9,0,.438,-2.9,1.9,-4.8,,,,,2,6,4,
8,2015,52,NOR,NFL,16,7,9,0,.438,-6.6,1.1,-7.6,,,,,3,6,3,
9,2016,53,NOR,NFL,16,7,9,0,.438,1.5,6.8,-5.3,,,,,3,9,4,
10,2017,54,NOR,NFL,16,11,5,0,.688,9.2,7.0,2.2,2,1,1,.500,1,5,1,
11,2018,55,NOR,NFL,16,13,3,0,.813,10.1,7.9,2.2,2,1,1,.500,1,7,3,
12,2019,56,NOR,NFL,16,13,3,0,.813,7.4,5.0,2.3,1,0,1,.000,1,9,7,
13,2020,57,NOR,NFL,16,12,4,0,.750,9.6,5.1,4.5,2,1,1,.500,1,7,3,
14,2021,58,NOR,NFL,17,9,8,0,.529,2.0,-1.5,3.6,,,,,2,3,0,
15,2023,60,DEN,NFL,8,3,5,0,.375,-10.3,-2.1,-8.3,,,,,3,1,0,
