,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Num,Won,Notes
0,1983,42,New York Giants,NFL,16,3,12,1,.219,-2.1,-5.5,3.4,,,,,5,,,
1,1984,43,New York Giants,NFL,16,9,7,0,.563,0.8,-2.2,3.1,2,1,1,.500,2,,,
2,1985,44,New York Giants,NFL,16,10,6,0,.625,3.9,2.1,1.8,2,1,1,.500,2,,,
3,1986,45,New York Giants,NFL,16,14,2,0,.875,9.0,3.2,5.8,3,3,0,1.000,1,,,Super Bowl Champions
4,1987,46,New York Giants,NFL,15,6,9,0,.400,-0.7,-2.9,2.2,,,,,5,,,
5,1988,47,New York Giants,NFL,16,10,6,0,.625,2.2,1.5,0.7,,,,,2,,,
6,1989,48,New York Giants,NFL,16,12,4,0,.750,6.4,1.9,4.6,1,0,1,.000,1,,,
7,1990,49,New York Giants,NFL,16,13,3,0,.813,7.7,0.0,7.6,3,3,0,1.000,1,,,Super Bowl Champions
8,1993,52,New England Patriots,NFL,16,5,11,0,.313,-3.8,-4.0,0.3,,,,,4,,,
9,1994,53,New England Patriots,NFL,16,10,6,0,.625,3.2,1.9,1.3,1,0,1,.000,2,,,
10,1995,54,New England Patriots,NFL,16,6,10,0,.375,-5.4,-2.8,-2.6,,,,,4,,,
11,1996,55,New England Patriots,NFL,16,11,5,0,.688,5.1,4.9,0.2,3,2,1,.667,1,,,AFC Champions
12,1997,56,New York Jets,NFL,16,9,7,0,.563,2.9,0.1,2.8,,,,,3,,,
13,1998,57,New York Jets,NFL,16,12,4,0,.750,11.2,5.4,5.8,2,1,1,.500,1,,,
14,1999,58,New York Jets,NFL,16,8,8,0,.500,3.1,0.2,2.9,,,,,4,5,2,
15,2003,62,Dallas Cowboys,NFL,16,10,6,0,.625,-0.5,-3.2,2.7,1,0,1,.000,2,6,3,
16,2004,63,Dallas Cowboys,NFL,16,6,10,0,.375,-7.8,-3.0,-4.8,,,,,3,5,0,
17,2005,64,Dallas Cowboys,NFL,16,9,7,0,.563,3.2,-0.1,3.2,,,,,3,6,3,
18,2006,65,Dallas Cowboys,NFL,16,9,7,0,.563,3.7,5.0,-1.3,1,0,1,.000,2,9,6,
