Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Notes
1955,44,RAM,NFL,12,8,3,1,.727,-1.3,-1.2,-0.2,1,0,1,.000,1,
1956,45,RAM,NFL,12,4,8,0,.333,-0.7,3.1,-3.7,,,,,5,
1957,46,RAM,NFL,12,6,6,0,.500,2.7,6.1,-3.4,,,,,4,
1958,47,RAM,NFL,12,8,4,0,.667,6.0,5.7,0.3,,,,,2,
1959,48,RAM,NFL,12,2,10,0,.167,-3.0,0.7,-3.8,,,,,6,
1960,49,LAC,AFL,14,10,4,0,.714,2.3,2.5,-0.2,1,0,1,.000,1,
1961,50,SDG,AFL,14,12,2,0,.857,11.1,2.6,8.4,1,0,1,.000,1,
1962,51,SDG,AFL,14,4,10,0,.286,-4.9,0.0,-4.9,,,,,3,
1963,52,SDG,AFL,14,11,3,0,.786,9.0,4.8,4.3,1,1,0,1.000,1,AFL Champions
1964,53,SDG,AFL,14,8,5,1,.615,2.6,0.9,1.7,1,0,1,.000,1,
1965,54,SDG,AFL,14,9,2,3,.818,7.1,2.1,4.9,1,0,1,.000,1,
1966,55,SDG,AFL,14,7,6,1,.538,4.1,1.7,2.4,,,,,3,
1967,56,SDG,AFL,14,8,5,1,.615,0.3,3.2,-2.9,,,,,3,
1968,57,SDG,AFL,14,9,5,0,.643,6.2,5.8,0.4,,,,,3,
1969,58,SDG,AFL,9,4,5,0,.444,1.5,-0.5,2.0,,,,,3,
1971,60,SDG,NFL,10,4,6,0,.400,-4.1,2.6,-6.6,,,,,3,
1973,62,HOU,NFL,9,1,8,0,.111,-16.8,-4.4,-12.4,,,,,4,
1974,63,HOU,NFL,14,7,7,0,.500,-1.9,-1.3,-0.6,,,,,2,
